t,wall,sim_left_j1,sim_left_j2,sim_left_j3,sim_left_j4,sim_left_j5,sim_left_j6,sim_left_j7,real_left_j1,real_left_j2,real_left_j3,real_left_j4,real_left_j5,real_left_j6,real_left_j7,master_left_x,master_left_y,master_left_z,master_left_qx,master_left_qy,master_left_qz,master_left_qw,cmd_left_x,cmd_left_y,cmd_left_z,ee_left_x,ee_left_y,ee_left_z,ee_left_qx,ee_left_qy,ee_left_qz,ee_left_qw,cascade_left,sim_left_fresh,real_left_fresh,master_left_fresh,ee_left_fresh,sim_right_j1,sim_right_j2,sim_right_j3,sim_right_j4,sim_right_j5,sim_right_j6,sim_right_j7,real_right_j1,real_right_j2,real_right_j3,real_right_j4,real_right_j5,real_right_j6,real_right_j7,master_right_x,master_right_y,master_right_z,master_right_qx,master_right_qy,master_right_qz,master_right_qw,cmd_right_x,cmd_right_y,cmd_right_z,ee_right_x,ee_right_y,ee_right_z,ee_right_qx,ee_right_qy,ee_right_qz,ee_right_qw,cascade_right,sim_right_fresh,real_right_fresh,master_right_fresh,ee_right_fresh,vr_left_engaged,vr_left_grip,vr_left_refused,vr_left_disp_m,vr_left_lag_m,vr_left_cutoff_hz,vr_left_tracked,vr_left_fresh,vr_right_engaged,vr_right_grip,vr_right_refused,vr_right_disp_m,vr_right_lag_m,vr_right_cutoff_hz,vr_right_tracked,vr_right_fresh,pred_left_top,pred_left_p,pred_left_ambiguous,pred_left_dist_m,pred_right_top,pred_right_p,pred_right_ambiguous,pred_right_dist_m,input_mode,vr_node_up,master_node_up,trial_id,trial_phase,goal_truth,target_id,target_w_m,target_d_m,estop,n_detections,autonomy_left,autonomy_right
0.7536,1788066588.2486,,,,,,,,1.7111999105185827,0.6352982098818656,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
0.8043,1788066588.2993,,,,,,,,1.7111999105185827,0.6352982098818656,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837932414887452,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
0.8537,1788066588.3487,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837932414887452,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
0.9036,1788066588.3986,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837932414887452,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
0.9538,1788066588.4488,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837932414887452,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
1.0035,1788066588.4985,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837932414887452,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
1.0545,1788066588.5495,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837932414887452,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
1.1038,1788066588.5988,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514761874469198,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837932414887452,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
1.1535,1788066588.6485,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514761874469198,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273777392752159,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
1.2036,1788066588.6987,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514761874469198,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
1.2536,1788066588.7486,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
1.3047,1788066588.7997,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273777392752159,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
1.3539,1788066588.8489,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273777392752159,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
1.4039,1788066588.8989,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837932414887452,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
1.4536,1788066588.9486,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
1.5051,1788066589.0001,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514761874469198,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
1.5537,1788066589.0487,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514761874469198,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
1.6038,1788066589.0988,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514761874469198,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
1.6549,1788066589.1499,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899355462503,-1.5440209051952398,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
1.7037,1788066589.1987,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899355462503,-1.5440209051952398,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837932414887452,-0.48185851920126893,2.3095918342770485,0.9273777392752159,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
1.7542,1788066589.2492,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899355462503,-1.5440209051952398,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837932414887452,-0.48185851920126893,2.3095918342770485,0.9273777392752159,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
1.8039,1788066589.2989,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514761874469198,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
1.8544,1788066589.3494,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514761874469198,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
1.9039,1788066589.3989,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514761874469198,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
1.9541,1788066589.4491,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273777392752159,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
2.0038,1788066589.4988,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273777392752159,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
2.0537,1788066589.5487,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
2.1038,1788066589.5988,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
2.1536,1788066589.6486,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837932414887452,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
2.2042,1788066589.6992,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
2.2537,1788066589.7487,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514761874469198,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
2.3039,1788066589.7989,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514761874469198,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.0683787915166565,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
2.3539,1788066589.8489,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.0683787915166565,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
2.4035,1788066589.8985,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837932414887452,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
2.4535,1788066589.9485,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837932414887452,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
2.5038,1788066589.9988,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837932414887452,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
2.5536,1788066590.0486,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837932414887452,-0.48185851920126893,2.3095918342770485,0.9273777392752159,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
