t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786019533.7279,E_left_down_r2,E,left,2,down,,0,137.2000,334.2000,229.4000,319.7000,0.0000,0.0000,275.9000,351.5000,23.2000,0.0000,0.0000,0.0000,121.2000,0.0000,0.17400,0.00300,0.95500,-8.67000,16.56000,2.34000,-0.92700,0.02200,0.22800,-0.21000,3.08000,-7.54000,13.9,1.9,1.0,1.0,1.129771,0.077246,2.138553,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,43.6471,,,,,9803,125765,3670,3300,6825,123760,2978,1858,0,147,0.47296,-0.05114,0
1786019533.7491,E_left_down_r2,E,left,2,down,,1,137.2000,334.2000,229.4000,319.7000,0.0000,0.0000,275.9000,351.5000,23.2000,0.0000,0.0000,0.0000,121.2000,0.0000,0.17400,0.00300,0.95500,-8.67000,16.56000,2.34000,-0.92700,0.02200,0.22800,-0.21000,3.08000,-7.54000,13.9,1.9,1.0,1.0,1.129771,0.077246,2.138553,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,43.6471,,,,,9803,9314,3670,3247,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019533.7761,E_left_down_r2,E,left,2,down,,2,137.2000,334.2000,229.4000,319.7000,0.0000,0.0000,275.9000,351.5000,23.2000,0.0000,0.0000,0.0000,121.2000,0.0000,0.17400,0.00300,0.95500,-8.67000,16.56000,2.34000,-0.92700,0.02200,0.22800,-0.21000,3.08000,-7.54000,13.9,1.9,1.0,1.0,1.129771,0.077246,2.138553,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,43.6471,,,,,9803,125765,3670,3300,6825,123760,2978,1858,0,147,0.47296,-0.05114,0
1786019533.7914,E_left_down_r2,E,left,2,down,,3,138.8000,335.2000,229.3000,319.4000,0.0000,0.0000,277.9000,351.6000,23.1000,0.0000,0.0000,0.0000,121.3000,0.0000,0.33900,0.08800,0.76200,15.10000,-10.18000,-0.92000,-0.94300,0.01400,0.24100,2.39000,-0.18000,-2.66000,13.9,1.9,1.0,1.0,1.247760,1.619469,2.123108,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,50.1984,,,,,129436,125765,3703,3300,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019533.8315,E_left_down_r2,E,left,2,down,,4,138.8000,335.2000,229.3000,319.4000,0.0000,0.0000,277.9000,351.6000,23.1000,0.0000,0.0000,0.0000,121.3000,0.0000,0.33900,0.08800,0.76200,15.10000,-10.18000,-0.92000,-0.94300,0.01400,0.24100,2.39000,-0.18000,-2.66000,13.9,1.9,1.0,1.0,1.247760,1.619469,2.123108,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,50.1984,,,,,129436,9314,3703,3248,126090,7347,3346,1818,0,149,0.47296,-0.05114,0
1786019533.8344,E_left_down_r2,E,left,2,down,,5,139.4000,336.5000,229.0000,319.5000,0.0000,0.0000,278.2000,351.6000,23.1000,0.0000,0.0000,0.0000,121.3000,0.0000,0.29100,0.04300,0.83100,15.79000,6.10000,-0.81000,-0.94300,0.01400,0.24100,2.39000,-0.18000,-2.66000,12.0,1.7,1.0,1.0,1.247760,1.619469,2.123108,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,50.1984,,,,,129436,125765,3703,3301,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019533.8495,E_left_down_r2,E,left,2,down,,6,139.4000,336.5000,229.0000,319.5000,0.0000,0.0000,278.2000,351.6000,23.1000,0.0000,0.0000,0.0000,121.3000,0.0000,0.29100,0.04300,0.83100,15.79000,6.10000,-0.81000,-0.94300,0.01400,0.24100,2.39000,-0.18000,-2.66000,12.0,1.7,1.0,1.0,1.247760,1.619469,2.123108,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,50.1984,,,,,129436,125765,3703,3301,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019533.8749,E_left_down_r2,E,left,2,down,,7,140.2000,337.3000,228.4000,319.2000,0.0000,0.0000,278.1000,351.5000,23.1000,0.0000,0.0000,0.0000,121.4000,0.0000,0.26500,0.07300,0.85600,15.90000,6.73000,-4.20000,-0.94900,0.01900,0.23700,-3.61000,-0.94000,3.44000,10.9,1.6,1.0,1.0,1.130080,0.076084,2.142854,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,50.2731,,,,,129436,125765,3703,3301,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019533.8906,E_left_down_r2,E,left,2,down,,8,139.9000,337.0000,228.6000,319.3000,0.0000,0.0000,278.2000,351.5000,23.1000,0.0000,0.0000,0.0000,121.4000,0.0000,0.28000,0.06200,0.84500,17.24000,6.50000,2.00000,-0.94900,0.01900,0.23700,-3.61000,-0.94000,3.44000,10.9,1.6,1.0,1.0,1.130080,0.076084,2.142854,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,50.2731,,,,,129436,125765,3703,3301,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019533.9153,E_left_down_r2,E,left,2,down,,9,139.9000,337.0000,228.6000,319.3000,0.0000,0.0000,278.2000,351.5000,23.1000,0.0000,0.0000,0.0000,121.4000,0.0000,0.28000,0.06200,0.84500,17.24000,6.50000,2.00000,-0.94900,0.01900,0.23700,-3.61000,-0.94000,3.44000,11.9,1.8,1.0,1.0,1.130080,0.076084,2.142854,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,50.2731,,,,,129436,125765,3703,3301,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019533.9304,E_left_down_r2,E,left,2,down,,10,139.9000,337.0000,228.6000,319.3000,0.0000,0.0000,278.2000,351.5000,23.1000,0.0000,0.0000,0.0000,121.4000,0.0000,0.28000,0.06200,0.84500,17.24000,6.50000,2.00000,-0.94900,0.01900,0.23700,-3.61000,-0.94000,3.44000,11.9,1.8,1.0,1.0,1.130080,0.076084,2.142854,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,50.2731,,,,,9803,125765,3671,3301,6825,123760,2978,1858,0,147,0.47296,-0.05114,0
1786019533.9516,E_left_down_r2,E,left,2,down,,11,139.9000,337.0000,228.6000,319.3000,0.0000,0.0000,278.2000,351.5000,23.1000,0.0000,0.0000,0.0000,121.4000,0.0000,0.28000,0.06200,0.84500,17.24000,6.50000,2.00000,-0.94900,0.01900,0.23700,-3.61000,-0.94000,3.44000,11.9,1.8,1.0,1.0,1.130080,0.076084,2.142854,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,50.2731,,,,,129436,9314,3703,3248,126090,7347,3346,1818,0,149,0.47296,-0.05114,0
1786019533.9717,E_left_down_r2,E,left,2,down,,12,143.4000,339.5000,226.4000,315.5000,0.0000,0.0000,274.3000,351.5000,23.1000,0.0000,0.0000,0.0000,121.4000,0.0000,0.19700,0.09500,0.88400,2.86000,10.43000,-1.52000,-0.94900,0.01900,0.23700,-3.61000,-0.94000,3.44000,11.9,1.8,1.0,1.0,1.247760,1.619469,2.123108,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,50.2731,,,,,129436,9314,3703,3248,126090,7347,3346,1818,0,149,0.47296,-0.05114,0
1786019533.9935,E_left_down_r2,E,left,2,down,,13,145.1000,341.0000,221.4000,312.8000,0.0000,0.0000,270.2000,351.5000,23.2000,0.0000,0.0000,0.0000,121.3000,0.0000,0.21000,0.10500,0.87100,7.47000,5.92000,0.96000,-0.93200,0.03100,0.23300,-3.60000,0.02000,0.98000,10.7,1.7,1.0,1.0,1.247760,1.619469,2.123108,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,50.4092,,,,,129436,9314,3703,3248,126090,7347,3346,1818,0,149,0.47296,-0.05114,0
1786019534.0275,E_left_down_r2,E,left,2,down,,14,146.8000,342.2000,223.8000,309.1000,0.0000,0.0000,264.8000,351.5000,23.2000,0.0000,0.0000,0.0000,121.3000,0.0000,0.23400,0.18900,0.88700,4.34000,3.56000,1.43000,-0.94100,0.02700,0.25700,-1.63000,-0.66000,1.20000,8.6,2.0,1.0,1.0,0.856862,0.822122,1.726022,-0.490209,-1.362603,2.355788,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,60.5794,,,,,129436,125765,3703,3301,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019534.0370,E_left_down_r2,E,left,2,down,,15,146.8000,342.2000,223.8000,309.1000,0.0000,0.0000,264.8000,351.5000,23.2000,0.0000,0.0000,0.0000,121.3000,0.0000,0.23400,0.18900,0.88700,4.34000,3.56000,1.43000,-0.94100,0.02700,0.25700,-1.63000,-0.66000,1.20000,10.1,2.2,1.0,1.0,0.856862,0.822122,1.726022,-0.490209,-1.362603,2.355788,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,60.5794,,,,,129436,125765,3703,3301,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019534.0572,E_left_down_r2,E,left,2,down,,16,146.8000,342.2000,223.8000,309.1000,0.0000,0.0000,264.8000,351.5000,23.2000,0.0000,0.0000,0.0000,121.3000,0.0000,0.23400,0.18900,0.88700,4.34000,3.56000,1.43000,-0.94100,0.02700,0.25700,-1.63000,-0.66000,1.20000,10.1,2.2,1.0,1.0,0.856862,0.822122,1.726022,-0.490209,-1.362603,2.355788,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,60.5794,,,,,129436,125765,3704,3301,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019534.0701,E_left_down_r2,E,left,2,down,,17,148.7000,343.2000,222.6000,303.9000,0.0000,0.0000,256.3000,351.5000,23.2000,0.0000,0.0000,0.0000,121.3000,0.0000,0.25900,0.15200,0.86700,-8.44000,10.72000,1.60000,-0.94100,0.02700,0.25700,-1.63000,-0.66000,1.20000,10.1,2.2,1.0,1.0,0.856862,0.822122,1.726022,-0.490209,-1.362603,2.355788,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,60.5794,,,,,129436,9314,3704,3249,126090,7347,3346,1818,0,149,0.47296,-0.05114,0
1786019534.0965,E_left_down_r2,E,left,2,down,,18,149.1000,343.5000,220.8000,301.9000,0.0000,0.0000,252.5000,351.5000,23.2000,0.0000,0.0000,0.0000,121.3000,0.0000,0.23600,0.13900,0.86900,-15.47000,16.53000,0.47000,-0.94100,0.02700,0.25700,-1.63000,-0.66000,1.20000,10.1,2.2,1.0,1.0,0.856862,0.822122,1.726022,-0.490209,-1.362603,2.355788,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,60.5794,,,,,129436,9314,3704,3249,126090,7347,3346,1818,0,149,0.47296,-0.05114,0
1786019534.1228,E_left_down_r2,E,left,2,down,,19,149.1000,343.5000,220.8000,301.9000,0.0000,0.0000,252.5000,351.5000,23.2000,0.0000,0.0000,0.0000,121.3000,0.0000,0.23600,0.13900,0.86900,-15.47000,16.53000,0.47000,-0.94100,0.02700,0.25700,-1.63000,-0.66000,1.20000,10.1,2.2,1.0,1.0,0.856862,0.822122,1.726022,-0.490209,-1.362603,2.355788,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,60.5794,,,,,129436,125765,3704,3302,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019534.1378,E_left_down_r2,E,left,2,down,,20,149.1000,343.5000,220.8000,301.9000,0.0000,0.0000,252.5000,351.5000,23.2000,0.0000,0.0000,0.0000,121.3000,0.0000,0.23600,0.13900,0.86900,-15.47000,16.53000,0.47000,-0.94100,0.02700,0.25700,-1.63000,-0.66000,1.20000,10.1,2.2,1.0,1.0,0.856862,0.822122,1.726022,-0.490209,-1.362603,2.355788,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,60.5794,,,,,129436,125765,3704,3302,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019534.1483,E_left_down_r2,E,left,2,down,,21,149.1000,343.5000,220.8000,301.9000,0.0000,0.0000,252.5000,351.5000,23.2000,0.0000,0.0000,0.0000,121.3000,0.0000,0.23600,0.13900,0.86900,-15.47000,16.53000,0.47000,-0.94100,0.02700,0.25700,-1.63000,-0.66000,1.20000,10.1,2.2,1.0,1.0,0.856862,0.822122,1.726022,-0.490209,-1.362603,2.355788,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,60.5794,,,,,9803,125765,3672,3302,6825,123760,2978,1858,0,147,0.47296,-0.05114,0
1786019534.1792,E_left_down_r2,E,left,2,down,,22,149.1000,343.5000,220.8000,301.9000,0.0000,0.0000,252.5000,351.5000,23.2000,0.0000,0.0000,0.0000,121.3000,0.0000,0.23600,0.13900,0.86900,-15.47000,16.53000,0.47000,-0.94100,0.02700,0.25700,-1.63000,-0.66000,1.20000,10.1,2.2,1.0,1.0,0.856862,0.822122,1.726022,-0.490209,-1.362603,2.355788,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,60.5794,,,,,129436,9314,3705,3249,126090,7347,3346,1818,0,149,0.47296,-0.05114,0
1786019534.1980,E_left_down_r2,E,left,2,down,,23,149.1000,343.5000,220.8000,301.9000,0.0000,0.0000,252.5000,351.5000,23.2000,0.0000,0.0000,0.0000,121.3000,0.0000,0.23600,0.13900,0.86900,-15.47000,16.53000,0.47000,-0.94100,0.02700,0.25700,-1.63000,-0.66000,1.20000,10.1,2.2,1.0,1.0,0.856862,0.822122,1.726022,-0.490209,-1.362603,2.355788,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,60.5794,,,,,129436,9314,3705,3249,126090,7347,3346,1818,0,149,0.47296,-0.05114,0
1786019534.2087,E_left_down_r2,E,left,2,down,,24,149.1000,343.5000,220.8000,301.9000,0.0000,0.0000,252.5000,351.5000,23.2000,0.0000,0.0000,0.0000,121.3000,0.0000,0.23600,0.13900,0.86900,-15.47000,16.53000,0.47000,-0.94100,0.02700,0.25700,-1.63000,-0.66000,1.20000,10.1,2.2,1.0,1.0,0.856862,0.822122,1.726022,-0.490209,-1.362603,2.355788,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,60.5794,,,,,9803,9314,3673,3249,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019534.2331,E_left_down_r2,E,left,2,down,,25,149.1000,343.5000,220.8000,301.9000,0.0000,0.0000,252.5000,351.5000,23.2000,0.0000,0.0000,0.0000,121.2000,0.0000,0.23600,0.13900,0.86900,-15.47000,16.53000,0.47000,-0.94200,0.02100,0.24400,-2.25000,3.05000,0.26000,10.1,2.2,1.0,1.0,0.856862,0.822122,1.726022,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,44.2775,,,,,9803,9314,3673,3249,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019534.2497,E_left_down_r2,E,left,2,down,,26,149.1000,343.5000,220.8000,301.9000,0.0000,0.0000,252.5000,351.5000,23.2000,0.0000,0.0000,0.0000,121.2000,0.0000,0.23600,0.13900,0.86900,-15.47000,16.53000,0.47000,-0.94200,0.02100,0.24400,-2.25000,3.05000,0.26000,10.1,2.2,1.0,1.0,0.856862,0.822122,1.726022,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,44.2775,,,,,9803,9314,3673,3249,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019534.2866,E_left_down_r2,E,left,2,down,,27,149.1000,343.5000,220.8000,301.9000,0.0000,0.0000,252.5000,351.5000,23.2000,0.0000,0.0000,0.0000,121.2000,0.0000,0.23600,0.13900,0.86900,-15.47000,16.53000,0.47000,-0.94200,0.02100,0.24400,-2.25000,3.05000,0.26000,10.1,2.2,1.0,1.0,0.856862,0.822122,1.726022,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,44.2775,,,,,9803,9314,3673,3249,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019534.2914,E_left_down_r2,E,left,2,down,,28,149.1000,343.5000,220.8000,301.9000,0.0000,0.0000,252.5000,351.5000,23.2000,0.0000,0.0000,0.0000,121.2000,0.0000,0.23600,0.13900,0.86900,-15.47000,16.53000,0.47000,-0.94200,0.02100,0.24400,-2.25000,3.05000,0.26000,9.0,2.7,1.0,1.0,0.856862,0.822122,1.726022,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,44.2775,,,,,129436,125765,3705,3302,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019534.3112,E_left_down_r2,E,left,2,down,,29,157.0000,344.1000,202.8000,277.5000,144.1000,0.0000,208.2000,351.5000,23.2000,0.0000,0.0000,0.0000,121.2000,0.0000,0.16700,0.08500,0.87100,-0.79000,7.08000,1.09000,-0.94200,0.02100,0.24400,-2.25000,3.05000,0.26000,9.0,2.7,1.0,1.0,1.247760,1.619469,2.123108,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,44.2775,,,,,9803,9314,3673,3249,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
