t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786018019.9737,A_right_j1,A,right,0,,,0,16.0000,344.9000,171.4000,159.9000,0.0000,0.0000,360.0000,360.0000,41.9000,0.0000,98.8000,0.0000,10.1000,0.0000,-0.84000,-0.05200,0.43900,5.15000,5.38000,2.90000,-0.00500,0.01800,0.96400,-11.59000,4.72000,9.02000,10.0,1.4,1.0,0.0,0.952608,0.258267,1.327705,-0.529892,0.276299,1.407683,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.733893,0.252704,1.188265,-0.531590,0.283363,1.411654,-1.806708,-1.336888,-1.599614,-1.276813,-2.925165,0.451606,0.891605,-0.614055,1.085498,0.970064,1.651047,-0.368321,-0.391732,2.829638,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,122636,2660,49,3,121671,2652,965,8,0,0,0.55106,0.38109,0
1786018020.0079,A_right_j1,A,right,0,,,1,166.3000,345.0000,171.4000,160.1000,0.0000,0.0000,360.0000,360.0000,41.9000,0.0000,98.8000,0.0000,10.1000,0.0000,-0.82800,-0.04300,0.42800,1.47000,3.17000,2.00000,-0.00500,0.01800,0.96400,-11.59000,4.72000,9.02000,10.0,1.4,1.0,0.0,0.738923,0.257755,1.183373,-0.529892,0.276299,1.407683,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.733645,0.252594,1.187892,-0.531648,0.293875,1.411234,-1.812708,-1.330888,-1.597311,-1.270813,-2.926457,0.457606,0.886496,-0.609722,1.093383,0.971654,1.633679,-0.372238,-0.381251,2.829448,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,3148,119164,7,31,2467,119121,681,42,0,1,0.52898,0.38109,0
1786018020.0180,A_right_j1,A,right,0,,,2,166.3000,345.0000,171.4000,160.1000,0.0000,0.0000,360.0000,360.0000,41.9000,0.0000,98.8000,0.0000,10.1000,0.0000,-0.82800,-0.04300,0.42800,1.47000,3.17000,2.00000,-0.00500,0.01800,0.96400,-11.59000,4.72000,9.02000,10.0,1.4,1.0,0.0,0.738923,0.257755,1.183373,-0.529892,0.276299,1.407683,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.733645,0.252594,1.187892,-0.531648,0.293875,1.411234,-1.827234,-1.316361,-1.592446,-1.256286,-2.928657,0.472132,0.873774,-0.607001,1.098335,0.972652,1.622772,-0.374698,-0.374669,2.829328,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,3148,119165,7,31,2467,119122,681,42,0,1,0.52898,0.38954,0
1786018020.0433,A_right_j1,A,right,0,,,3,166.3000,345.0000,171.4000,160.1000,0.0000,0.0000,360.0000,360.0000,41.9000,0.0000,98.8000,0.0000,10.1000,0.0000,-0.82800,-0.04300,0.42800,1.47000,3.17000,2.00000,-0.00500,0.01800,0.96400,-11.59000,4.72000,9.02000,10.0,1.4,1.0,0.0,0.738923,0.257755,1.183373,-0.529892,0.276299,1.407683,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.733645,0.252594,1.187892,-0.531648,0.293875,1.411234,-1.827667,-1.321441,-1.595267,-1.244898,-2.927585,0.478630,0.879121,-0.613520,1.092004,0.972156,1.641352,-0.371370,-0.385436,2.827744,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,122638,119165,49,31,121672,119122,966,42,0,1,0.52870,0.38954,0
1786018020.0621,A_right_j1,A,right,0,,,4,166.3000,345.0000,171.4000,160.1000,0.0000,0.0000,360.0000,360.0000,41.9000,0.0000,98.8000,0.0000,10.1000,0.0000,-0.82800,-0.04300,0.42800,1.47000,3.17000,2.00000,-0.00500,0.01800,0.96400,-11.59000,4.72000,9.02000,10.0,1.4,1.0,0.0,0.738923,0.257755,1.183373,-0.529892,0.276299,1.407683,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.739533,0.257560,1.190513,-0.531159,0.291874,1.410065,-1.822310,-1.332439,-1.599660,-1.239049,-2.926176,0.479476,0.889888,-0.617924,1.087728,0.971821,1.653900,-0.369122,-0.392708,2.826674,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,3149,119165,7,31,2468,119122,681,42,0,1,0.52870,0.38954,0
1786018020.0747,A_right_j1,A,right,0,,,5,166.3000,345.0000,171.4000,160.1000,0.0000,0.0000,360.0000,360.0000,41.9000,0.0000,98.8000,0.0000,10.1000,0.0000,-0.82800,-0.04300,0.42800,1.47000,3.17000,2.00000,-0.00500,0.01800,0.96400,-11.59000,4.72000,9.02000,10.0,1.4,1.0,0.0,0.738923,0.257755,1.183373,-0.529892,0.276299,1.407683,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.739533,0.257560,1.190513,-0.531159,0.291874,1.410065,-1.822310,-1.332439,-1.599660,-1.239049,-2.926176,0.479476,0.889888,-0.617924,1.087728,0.971821,1.653900,-0.369122,-0.392708,2.826674,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,122638,2661,49,3,121672,2653,966,8,0,0,0.52870,0.38954,0
1786018020.1002,A_right_j1,A,right,0,,,6,166.1000,345.0000,171.4000,160.0000,0.0000,0.0000,360.0000,360.0000,43.4000,0.0000,988.0000,0.0000,17.4000,0.0000,-0.83200,-0.02300,0.37200,2.66000,2.13000,5.44000,0.01100,-0.00100,0.95200,-0.03000,4.59000,4.35000,9.9,1.9,1.0,0.0,0.952608,0.258267,1.327705,-0.529892,0.276299,1.407683,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.739533,0.257560,1.190513,-0.531159,0.291874,1.410065,-1.819725,-1.337747,-1.601780,-1.236226,-2.925496,0.479884,0.895085,-0.624379,1.081460,0.971330,1.672297,-0.365828,-0.403368,2.825105,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,3149,119165,7,31,2468,119122,681,42,0,1,0.52870,0.38954,0
1786018020.1168,A_right_j1,A,right,0,,,7,166.1000,345.0000,171.4000,160.0000,0.0000,0.0000,360.0000,360.0000,43.4000,0.0000,988.0000,0.0000,17.4000,0.0000,-0.83200,-0.02300,0.37200,2.66000,2.13000,5.44000,0.01100,-0.00100,0.95200,-0.03000,4.59000,4.35000,9.9,1.9,1.0,0.0,0.952608,0.258267,1.327705,-0.529892,0.276299,1.407683,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.739533,0.257560,1.190513,-0.531159,0.291874,1.410065,-1.819725,-1.337747,-1.601780,-1.236226,-2.925496,0.479884,0.895085,-0.628737,1.077227,0.970999,1.684717,-0.363603,-0.410565,2.824046,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,3149,2661,7,3,2468,2653,681,8,0,0,0.52870,0.38954,0
1786018020.1403,A_right_j1,A,right,0,,,8,166.1000,345.0000,171.4000,160.0000,0.0000,0.0000,360.0000,360.0000,43.4000,0.0000,988.0000,0.0000,17.4000,0.0000,-0.83200,-0.02300,0.37200,2.66000,2.13000,5.44000,0.01100,-0.00100,0.95200,-0.03000,4.59000,4.35000,9.9,1.9,1.0,0.0,0.952608,0.258267,1.327705,-0.529892,0.276299,1.407683,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.740452,0.258783,1.186292,-0.530250,0.280453,1.408344,-1.830795,-1.326254,-1.597435,-1.224732,-2.927780,0.491201,0.885115,-0.632333,1.074016,0.971031,1.694632,-0.361431,-0.416227,2.822589,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,3150,2661,7,3,2468,2653,682,8,0,0,0.53106,0.38954,0
1786018020.1554,A_right_j1,A,right,0,,,9,166.1000,345.0000,171.4000,160.0000,0.0000,0.0000,360.0000,360.0000,43.4000,0.0000,988.0000,0.0000,17.4000,0.0000,-0.83200,-0.02300,0.37200,2.66000,2.13000,5.44000,0.01100,-0.00100,0.95200,-0.03000,4.59000,4.35000,9.9,1.9,1.0,0.0,0.952608,0.258267,1.327705,-0.529892,0.276299,1.407683,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.740452,0.258783,1.186292,-0.530250,0.280453,1.408344,-1.842018,-1.314602,-1.593031,-1.213080,-2.930095,0.502673,0.875009,-0.634283,1.072571,0.971369,1.699655,-0.359900,-0.419004,2.821186,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,3150,119166,7,31,2468,119123,682,42,0,1,0.53106,0.38843,0
1786018020.1758,A_right_j1,A,right,0,,,10,166.1000,345.0000,171.4000,160.0000,0.0000,0.0000,360.0000,360.0000,43.4000,0.0000,988.0000,0.0000,17.4000,0.0000,-0.83200,-0.02300,0.37200,2.66000,2.13000,5.44000,0.01100,-0.00100,0.95200,-0.03000,4.59000,4.35000,9.9,1.9,1.0,0.0,0.952608,0.258267,1.327705,-0.529892,0.276299,1.407683,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.740452,0.258783,1.186292,-0.530250,0.280453,1.408344,-1.853142,-1.303052,-1.588665,-1.201531,-2.932390,0.514044,0.864991,-0.635749,1.071485,0.971623,1.703432,-0.358749,-0.421091,2.820131,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,3150,119166,7,31,2468,119123,682,42,0,1,0.53106,0.38843,0
1786018020.1984,A_right_j1,A,right,0,,,11,166.1000,345.0000,171.4000,160.0000,0.0000,0.0000,360.0000,360.0000,43.4000,0.0000,988.0000,0.0000,17.4000,0.0000,-0.83200,-0.02300,0.37200,2.66000,2.13000,5.44000,0.01100,-0.00100,0.95200,-0.03000,4.59000,4.35000,9.9,1.9,1.0,0.0,0.952608,0.258267,1.327705,-0.529892,0.276299,1.407683,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.751106,0.264986,1.206435,-0.529895,0.276300,1.407684,-1.858804,-1.297174,-1.586442,-1.195653,-2.933558,0.519831,0.859892,-0.636494,1.070932,0.971753,1.705354,-0.358163,-0.422153,2.819595,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,122639,2662,49,3,121672,2654,967,8,0,0,0.53106,0.38400,0
1786018020.2156,A_right_j1,A,right,0,,,12,166.1000,345.0000,171.4000,160.0000,0.0000,0.0000,360.0000,360.0000,43.4000,0.0000,988.0000,0.0000,17.4000,0.0000,-0.83200,-0.02300,0.37200,2.66000,2.13000,5.44000,0.01100,-0.00100,0.95200,-0.03000,4.59000,4.35000,9.9,1.9,1.0,0.0,0.952608,0.258267,1.327705,-0.529892,0.276299,1.407683,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.751106,0.264986,1.206435,-0.529895,0.276300,1.407684,-1.869968,-1.285583,-1.582061,-1.184062,-2.935862,0.531244,0.849838,-0.637227,1.070389,0.971880,1.707242,-0.357588,-0.423197,2.819067,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,3150,119166,7,31,2468,119123,682,42,0,1,0.53106,0.38843,0
1786018020.2359,A_right_j1,A,right,0,,,13,166.0000,345.0000,171.3000,160.0000,0.0000,0.0000,360.0000,359.3000,43.3000,0.0000,98.8000,0.0000,0.0000,0.0000,-0.84800,-0.02900,0.42500,0.73000,5.55000,4.27000,0.01100,-0.01900,0.95100,-1.56000,-2.67000,2.22000,12.1,1.5,1.0,0.0,0.737504,0.257400,1.183051,-0.538654,0.201227,1.405419,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.751106,0.264986,1.206435,-0.529895,0.276300,1.407684,-1.886711,-1.268200,-1.575489,-1.166678,-2.939316,0.548359,0.834760,-0.637227,1.070389,0.971880,1.707242,-0.357588,-0.423197,2.819067,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,3150,2662,7,3,2468,2654,682,8,0,0,0.53106,0.38400,0
1786018020.2698,A_right_j1,A,right,0,,,14,166.0000,344.9000,171.3000,160.0000,0.0000,0.0000,360.0000,359.3000,43.3000,0.0000,98.8000,0.0000,0.0000,0.0000,-0.84700,-0.02800,0.42600,0.66000,5.17000,3.79000,0.01100,-0.01900,0.95100,-1.56000,-2.67000,2.22000,12.1,1.5,1.0,0.0,0.952608,0.258267,1.327705,-0.538654,0.201227,1.405419,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.755648,0.267227,1.215306,-0.529894,0.276298,1.407684,-1.880796,-1.274420,-1.577719,-1.173189,-2.937983,0.542181,0.840011,-0.637227,1.070389,0.971880,1.707242,-0.357588,-0.423197,2.819067,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,3151,119167,7,31,2469,119124,682,42,0,1,0.54121,0.38244,0
1786018020.2759,A_right_j1,A,right,0,,,15,166.0000,344.9000,171.3000,160.0000,0.0000,0.0000,360.0000,359.3000,43.3000,0.0000,98.8000,0.0000,0.0000,0.0000,-0.84700,-0.02800,0.42600,0.66000,5.17000,3.79000,0.01100,-0.01900,0.95100,-1.56000,-2.67000,2.22000,12.1,1.5,1.0,0.0,0.952608,0.258267,1.327705,-0.538654,0.201227,1.405419,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.755648,0.267227,1.215306,-0.529894,0.276298,1.407684,-1.874942,-1.280538,-1.579970,-1.179453,-2.936719,0.536130,0.845245,-0.639587,1.067638,0.972445,1.713242,-0.356606,-0.426169,2.819044,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,122641,2663,49,3,121673,2655,968,8,0,0,0.54121,0.38244,0
1786018020.2967,A_right_j1,A,right,0,,,16,166.0000,344.9000,171.3000,160.0000,0.0000,0.0000,360.0000,359.3000,43.3000,0.0000,98.8000,0.0000,0.0000,0.0000,-0.84700,-0.02800,0.42600,0.66000,5.17000,3.79000,0.01100,-0.01900,0.95100,-1.56000,-2.67000,2.22000,12.1,1.5,1.0,0.0,0.952608,0.258267,1.327705,-0.538654,0.201227,1.405419,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.755648,0.267227,1.215306,-0.529894,0.276298,1.407684,-1.874942,-1.280538,-1.579970,-1.179453,-2.936719,0.536130,0.845245,-0.639587,1.067638,0.972445,1.713242,-0.356606,-0.426169,2.819044,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,122641,119167,49,31,121673,119124,968,42,0,1,0.54121,0.38244,0
1786018020.3168,A_right_j1,A,right,0,,,17,166.0000,345.0000,171.4000,160.0000,0.0000,0.0000,360.0000,359.3000,43.3000,0.0000,98.8000,0.0000,0.0000,0.0000,-0.84400,-0.02400,0.41900,0.27000,-1.63000,2.44000,0.01100,-0.01900,0.95100,-1.56000,-2.67000,2.22000,10.2,2.0,1.0,0.0,0.952608,0.258267,1.327705,-0.538654,0.201227,1.405419,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.755648,0.267227,1.215306,-0.529894,0.276298,1.407684,-1.889441,-1.263633,-1.574834,-1.160816,-2.939006,0.550987,0.831917,-0.646559,1.059510,0.974117,1.730965,-0.353705,-0.434949,2.818973,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,3151,2663,7,3,2469,2655,682,8,0,0,0.54121,0.38244,0
1786018020.3370,A_right_j1,A,right,0,,,18,166.0000,345.0000,171.4000,160.0000,0.0000,0.0000,360.0000,358.8000,43.3000,0.0000,98.9000,0.0000,0.0000,0.0000,-0.84400,-0.02400,0.41900,0.27000,-1.63000,2.44000,-0.00600,-0.00100,0.92200,-0.53000,-3.22000,1.05000,10.2,2.0,1.0,0.0,0.952608,0.258267,1.327705,-0.529892,0.276299,1.407683,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.755648,0.267227,1.215306,-0.529894,0.276298,1.407684,-1.899125,-1.252342,-1.571403,-1.148369,-2.940533,0.560909,0.823015,-0.651294,1.053991,0.975252,1.743003,-0.351734,-0.440912,2.818925,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,122642,2663,49,3,121673,2655,969,8,0,0,0.54613,0.38244,0
1786018020.3544,A_right_j1,A,right,0,,,19,166.0000,345.0000,171.4000,160.0000,0.0000,0.0000,360.0000,358.8000,43.3000,0.0000,98.9000,0.0000,0.0000,0.0000,-0.84400,-0.02400,0.41900,0.27000,-1.63000,2.44000,-0.00600,-0.00100,0.92200,-0.53000,-3.22000,1.05000,10.2,2.0,1.0,0.0,0.952608,0.258267,1.327705,-0.529892,0.276299,1.407683,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.766337,0.270103,1.226810,-0.532072,0.264365,1.407634,-1.913430,-1.235669,-1.566362,-1.129286,-2.942755,0.575569,0.809852,-0.658745,1.045305,0.977038,1.761945,-0.348634,-0.450296,2.818849,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,3152,2664,7,3,2469,2656,683,8,0,0,0.54613,0.38117,0
1786018020.3803,A_right_j1,A,right,0,,,20,166.0000,345.0000,171.4000,160.0000,0.0000,0.0000,360.0000,358.8000,43.3000,0.0000,98.9000,0.0000,0.0000,0.0000,-0.84400,-0.02400,0.41900,0.27000,-1.63000,2.44000,-0.00600,-0.00100,0.92200,-0.53000,-3.22000,1.05000,10.2,2.0,1.0,0.0,0.952608,0.258267,1.327705,-0.529892,0.276299,1.407683,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.766337,0.270103,1.226810,-0.532072,0.264365,1.407634,-1.925871,-1.221173,-1.561990,-1.112365,-2.944671,0.588318,0.798398,-0.649917,1.056905,0.976071,1.738233,-0.350815,-0.438198,2.816312,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,3152,2664,7,3,2469,2656,683,8,0,0,0.54613,0.38117,0
1786018020.3943,A_right_j1,A,right,0,,,21,166.0000,345.0000,171.4000,160.0000,0.0000,0.0000,360.0000,358.8000,43.3000,0.0000,98.9000,0.0000,0.0000,0.0000,-0.84400,-0.02400,0.41900,0.27000,-1.63000,2.44000,-0.00600,-0.00100,0.92200,-0.53000,-3.22000,1.05000,10.2,2.0,1.0,0.0,0.952608,0.258267,1.327705,-0.529892,0.276299,1.407683,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.766337,0.270103,1.226810,-0.532072,0.264365,1.407634,-1.930258,-1.216061,-1.560448,-1.106398,-2.945346,0.592814,0.794358,-0.646966,1.060783,0.975747,1.730305,-0.351545,-0.434154,2.815463,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,3152,119168,7,31,2469,119125,683,42,0,1,0.54613,0.38117,0
1786018020.4202,A_right_j1,A,right,0,,,22,166.0000,345.0000,171.4000,160.0000,0.0000,0.0000,360.0000,358.8000,43.3000,0.0000,98.9000,0.0000,0.0000,0.0000,-0.84400,-0.02400,0.41900,0.27000,-1.63000,2.44000,-0.00600,-0.00100,0.92200,-0.53000,-3.22000,1.05000,10.2,2.0,1.0,0.0,0.952608,0.258267,1.327705,-0.529892,0.276299,1.407683,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.780392,0.273131,1.241949,-0.530738,0.271890,1.407682,-1.938721,-1.206199,-1.557474,-1.094887,-2.946650,0.601487,0.786567,-0.641247,1.068297,0.975120,1.714944,-0.352958,-0.426318,2.813819,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,3152,2664,7,3,2469,2656,683,8,0,0,0.54613,0.38117,0
1786018020.4381,A_right_j1,A,right,0,,,23,166.0000,345.0000,171.6000,160.0000,0.0000,0.0000,360.0000,358.6000,43.4000,0.0000,98.9000,0.0000,124.4000,0.0000,-0.83600,-0.03900,0.41600,0.85000,2.49000,0.66000,-0.01800,-0.01300,0.92800,-2.97000,1.21000,4.02000,9.2,0.5,1.0,0.0,0.952608,0.258267,1.327705,-0.529892,0.276299,1.407683,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.780392,0.273131,1.241949,-0.530738,0.271890,1.407682,-1.947316,-1.196184,-1.554454,-1.083197,-2.947973,0.610295,0.778654,-0.638397,1.072042,0.974808,1.707289,-0.353662,-0.422412,2.813000,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,3152,2664,7,3,2469,2656,683,8,0,0,0.54613,0.38117,0
1786018020.4539,A_right_j1,A,right,0,,,24,166.0000,345.0000,171.6000,160.0000,0.0000,0.0000,360.0000,358.6000,43.4000,0.0000,98.9000,0.0000,124.4000,0.0000,-0.83600,-0.03900,0.41600,0.85000,2.49000,0.66000,-0.01800,-0.01300,0.92800,-2.97000,1.21000,4.02000,9.2,0.5,1.0,0.0,0.952608,0.258267,1.327705,-0.529892,0.276299,1.407683,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.780392,0.273131,1.241949,-0.530738,0.271890,1.407682,-1.956044,-1.186014,-1.551386,-1.071326,-2.949317,0.619240,0.770618,-0.638397,1.072042,0.974808,1.707289,-0.353662,-0.422412,2.813000,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,3153,2664,7,3,2469,2656,684,8,0,0,0.56432,0.38117,0
1786018020.4801,A_right_j1,A,right,0,,,25,166.0000,345.0000,171.6000,160.0000,0.0000,0.0000,360.0000,359.2000,43.5000,0.0000,99.0000,0.0000,153.1000,0.0000,-0.85700,-0.02800,0.42000,1.93000,3.59000,-0.76000,-0.03800,0.00700,0.93200,-6.01000,6.39000,11.69000,9.9,2.2,1.0,0.0,0.952608,0.258267,1.327705,-0.529892,0.276299,1.407683,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.794824,0.275198,1.256203,-0.529892,0.276299,1.407683,-1.962864,-1.178121,-1.549193,-1.059726,-2.950102,0.626239,0.764236,-0.638594,1.072321,0.975302,1.707297,-0.352994,-0.422280,2.811971,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,3153,119169,7,31,2469,119126,684,42,0,1,0.56432,0.38196,0
1786018020.4979,A_right_j1,A,right,0,,,26,166.0000,345.0000,171.6000,160.0000,0.0000,0.0000,360.0000,359.2000,43.5000,0.0000,99.0000,0.0000,153.1000,0.0000,-0.85700,-0.02800,0.42000,1.93000,3.59000,-0.76000,-0.03800,0.00700,0.93200,-6.01000,6.39000,11.69000,9.9,2.2,1.0,0.0,0.952608,0.258267,1.327705,-0.529892,0.276299,1.407683,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.794824,0.275198,1.256203,-0.529892,0.276299,1.407683,-1.969537,-1.170398,-1.547047,-1.048268,-2.950871,0.633087,0.757992,-0.638908,1.072765,0.976090,1.707309,-0.351928,-0.422068,2.810331,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,122644,2665,49,3,121673,2657,971,8,0,0,0.57346,0.38196,0
1786018020.5166,A_right_j1,A,right,0,,,27,166.0000,345.0000,171.6000,160.0000,0.0000,0.0000,360.0000,359.2000,43.5000,0.0000,99.0000,0.0000,153.1000,0.0000,-0.85700,-0.02800,0.42000,1.93000,3.59000,-0.76000,-0.03800,0.00700,0.93200,-6.01000,6.39000,11.69000,9.9,2.2,1.0,0.0,0.952608,0.258267,1.327705,-0.529892,0.276299,1.407683,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.794824,0.275198,1.256203,-0.529892,0.276299,1.407683,-1.975910,-1.163035,-1.545041,-1.036546,-2.951547,0.639629,0.752007,-0.639130,1.073080,0.976648,1.707318,-0.351174,-0.421919,2.809170,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,3154,119170,7,31,2469,119127,685,42,0,1,0.57346,0.38244,0
1786018020.5386,A_right_j1,A,right,0,,,28,166.0000,345.0000,171.6000,160.0000,0.0000,0.0000,360.0000,359.2000,43.5000,0.0000,99.0000,0.0000,153.1000,0.0000,-0.85700,-0.02800,0.42000,1.93000,3.59000,-0.76000,-0.03800,0.00700,0.93200,-6.01000,6.39000,11.69000,9.9,2.2,1.0,0.0,0.952608,0.258267,1.327705,-0.529892,0.276299,1.407683,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.794824,0.275198,1.256203,-0.529892,0.276299,1.407683,-1.979136,-1.159308,-1.544026,-1.030612,-2.951889,0.642941,0.748977,-0.639185,1.073160,0.976783,1.707317,-0.351002,-0.421881,2.808897,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,122644,2666,49,3,121673,2658,971,8,0,0,0.57346,0.38244,0
1786018020.5594,A_right_j1,A,right,0,,,29,166.0000,345.0000,171.6000,160.0000,0.0000,0.0000,360.0000,359.2000,43.5000,0.0000,99.0000,0.0000,153.1000,0.0000,-0.85700,-0.02800,0.42000,1.93000,3.59000,-0.76000,-0.03800,0.00700,0.93200,-6.01000,6.39000,11.69000,9.9,2.2,1.0,0.0,0.952608,0.258267,1.327705,-0.529892,0.276299,1.407683,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.809260,0.276742,1.265459,-0.529892,0.276302,1.407678,-1.985577,-1.151866,-1.542000,-1.018765,-2.952572,0.649552,0.742928,-0.639298,1.073320,0.977054,1.707315,-0.350655,-0.421805,2.808347,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,122644,2666,49,3,121673,2658,971,8,0,0,0.57346,0.38244,0
1786018020.5787,A_right_j1,A,right,0,,,30,166.0000,345.0000,171.5000,160.0000,0.0000,0.0000,360.0000,359.2000,43.5000,0.0000,99.0000,0.0000,153.1000,0.0000,-0.82100,-0.03100,0.39000,1.48000,6.30000,0.43000,-0.03800,0.00700,0.93200,-6.01000,6.39000,11.69000,10.1,1.5,1.0,0.0,0.736871,0.255452,1.187269,-0.529892,0.276299,1.407683,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.809260,0.276742,1.265459,-0.529892,0.276302,1.407678,-1.992263,-1.144140,-1.539896,-1.006465,-2.953281,0.656417,0.736648,-0.639409,1.073478,0.977322,1.707313,-0.350313,-0.421730,2.807805,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,122644,2666,49,3,121673,2658,971,8,0,0,0.57346,0.38244,0
