t,phase,master_x,master_y,master_z,master_qx,master_qy,master_qz,master_qw,pointing_x,pointing_y,pointing_z,clutch,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,cmd_x,cmd_y,cmd_z,gripper_rad,autonomy_state,intent_top,intent_top_p,intent_margin,intent_ambiguous,intent_dist,intent_ids,grasp_offered,channels_live,ik_success,ik_fail,ik_rejected,clearance_m,payload_kg,estop
0.5042,reach,-0.38649143474154535,0.338495529929801,1.1600350107977027,0.0,0.0,0.0,1.0,-0.4498572456924246,-0.4217411678366473,0.7872501799617491,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,-0.38649143474154535,0.338495529929801,1.1600350107977027,0.7929,DIRECT,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,5901.0,0.0,-1.0,0.0,1
0.5056,reach,-0.38649143474154535,0.338495529929801,1.1600350107977027,0.0,0.0,0.0,1.0,-0.4498572456924246,-0.4217411678366473,0.7872501799617491,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,-0.38649143474154535,0.338495529929801,1.1600350107977027,0.7929,DIRECT,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,5901.0,0.0,-1.0,0.0,1
0.5079,reach,-0.38649143474154535,0.338495529929801,1.1600350107977027,0.0,0.0,0.0,1.0,-0.4498572456924246,-0.4217411678366473,0.7872501799617491,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,-0.38649143474154535,0.338495529929801,1.1600350107977027,0.7929,DIRECT,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,5901.0,0.0,-1.0,0.0,1
0.5137,reach,-0.38649143474154535,0.338495529929801,1.1600350107977027,0.0,0.0,0.0,1.0,-0.4498572456924246,-0.4217411678366473,0.7872501799617491,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,-0.38649143474154535,0.338495529929801,1.1600350107977027,0.7929,DIRECT,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,5901.0,0.0,-1.0,0.0,1
0.5163,reach,-0.38649143474154535,0.338495529929801,1.1600350107977027,0.0,0.0,0.0,1.0,-0.4498572456924246,-0.4217411678366473,0.7872501799617491,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,-0.38649143474154535,0.338495529929801,1.1600350107977027,0.7929,DIRECT,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,5901.0,0.0,-1.0,0.0,1
0.5194,reach,-0.3854117773518835,0.339507708732609,1.1581456103657946,0.0,0.0,0.0,1.0,-0.4498572456924246,-0.4217411678366473,0.7872501799617491,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,-0.3854117773518835,0.339507708732609,1.1581456103657946,0.7929,DIRECT,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,5901.0,0.0,-1.0,0.0,1
0.5199,reach,-0.3854117773518835,0.339507708732609,1.1581456103657946,0.0,0.0,0.0,1.0,0.44985724569243546,0.4217411678366625,-0.7872501799617349,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,-0.3854117773518835,0.339507708732609,1.1581456103657946,0.7929,DIRECT,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,5901.0,0.0,-1.0,0.0,1
0.5205,reach,-0.3854117773518835,0.339507708732609,1.1581456103657946,0.0,0.0,0.0,1.0,0.44985724569243546,0.4217411678366625,-0.7872501799617349,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,-0.3854117773518835,0.339507708732609,1.1581456103657946,0.7929,DIRECT,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,5901.0,0.0,-1.0,0.0,1
0.5216,reach,-0.3854117773518835,0.339507708732609,1.1581456103657946,0.0,0.0,0.0,1.0,0.44985724569243546,0.4217411678366625,-0.7872501799617349,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,-0.3854117773518835,0.339507708732609,1.1581456103657946,0.7929,DIRECT,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,5901.0,0.0,-1.0,0.0,1
0.5233,reach,-0.3854117773518835,0.339507708732609,1.1581456103657946,0.0,0.0,0.0,1.0,0.44985724569243546,0.4217411678366625,-0.7872501799617349,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,-0.3854117773518835,0.339507708732609,1.1581456103657946,0.7929,DIRECT,tag_0,1.0,1.0,0,[1.0],"[""tag_0""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,5901.0,0.0,-1.0,0.0,1
