t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786018885.0934,C_right_down,C,right,0,down,,0,160.7000,344.1000,157.3000,169.2000,53.5000,0.0000,360.0000,285.3000,100.9000,0.0000,0.0000,0.0000,213.2000,0.0000,-0.90000,0.05800,0.29000,4.50000,-3.44000,0.31000,0.09200,0.14200,0.92100,-20.41000,1.71000,8.72000,10.6,1.9,1.0,0.0,1.019972,0.655914,1.365298,-0.225631,0.071308,1.486916,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.662715,0.129197,1.362552,-0.100836,0.013868,1.408864,-1.731421,-1.223663,-1.631249,-1.959700,2.833398,-0.114368,1.218495,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,0.0834,,,,,128441,8687,1672,1236,125423,7346,3018,1303,0,38,0.48491,-0.05114,0
1786018885.1147,C_right_down,C,right,0,down,,1,160.7000,344.1000,157.3000,169.2000,53.5000,0.0000,360.0000,285.3000,100.9000,0.0000,0.0000,0.0000,213.2000,0.0000,-0.90000,0.05800,0.29000,4.50000,-3.44000,0.31000,0.09200,0.14200,0.92100,-20.41000,1.71000,8.72000,10.6,1.9,1.0,0.0,1.019972,0.655914,1.365298,-0.225631,0.071308,1.486916,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.662715,0.129197,1.362552,-0.100836,0.013868,1.408864,-1.723623,-1.235109,-1.619823,-1.948354,2.845580,-0.103001,1.229161,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,0.0834,,,,,8798,8687,1646,1236,6140,7346,2658,1303,0,38,0.48491,-0.05114,0
1786018885.1335,C_right_down,C,right,0,down,,2,160.7000,344.1000,157.3000,169.2000,53.5000,0.0000,360.0000,285.3000,100.9000,0.0000,0.0000,0.0000,213.2000,0.0000,-0.90000,0.05800,0.29000,4.50000,-3.44000,0.31000,0.09200,0.14200,0.92100,-20.41000,1.71000,8.72000,10.6,1.9,1.0,0.0,1.019972,0.655914,1.365298,-0.225631,0.071308,1.486916,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.662715,0.129197,1.362552,-0.100836,0.013868,1.408864,-1.719961,-1.240483,-1.614458,-1.943025,2.851300,-0.097663,1.234170,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,0.0834,,,,,8798,125160,1646,1272,6140,123759,2658,1371,0,30,0.48491,-0.05114,0
1786018885.1617,C_right_down,C,right,0,down,,3,60.7000,344.1000,157.4000,169.3000,54.2000,0.0000,360.0000,286.3000,100.3000,0.0000,0.0000,0.0000,212.7000,0.0000,-0.90700,0.05800,0.30600,5.51000,5.92000,-6.94000,0.11300,0.05300,0.84600,-31.41000,12.23000,-0.59000,10.6,1.9,1.0,0.0,1.018833,0.655756,1.364908,-0.225631,0.071308,1.486916,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.656055,0.142966,1.327908,-0.100836,0.013868,1.408864,-1.707840,-1.258274,-1.596699,-1.925388,2.870235,-0.079994,1.250750,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,0,0,1,1,0.0500,0.1328,,,,,128441,8687,1672,1236,125423,7346,3018,1303,0,38,0.48491,-0.05114,0
1786018885.1809,C_right_down,C,right,0,down,,4,60.7000,344.1000,157.4000,169.3000,54.2000,0.0000,360.0000,286.3000,100.3000,0.0000,0.0000,0.0000,212.7000,0.0000,-0.90700,0.05800,0.30600,5.51000,5.92000,-6.94000,0.11300,0.05300,0.84600,-31.41000,12.23000,-0.59000,10.6,1.9,1.0,0.0,1.018833,0.655756,1.364908,-0.225631,0.071308,1.486916,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.656055,0.142966,1.327908,-0.100836,0.013868,1.408864,-1.696849,-1.274405,-1.580596,-1.909396,2.887403,-0.063974,1.265783,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,0,0,1,1,0.0500,0.1328,,,,,128441,125160,1672,1272,125423,123759,3018,1371,0,30,0.48491,-0.05114,0
1786018885.1962,C_right_down,C,right,0,down,,5,60.7000,344.1000,157.4000,169.3000,54.2000,0.0000,360.0000,286.3000,100.3000,0.0000,0.0000,0.0000,212.7000,0.0000,-0.90700,0.05800,0.30600,5.51000,5.92000,-6.94000,0.11300,0.05300,0.84600,-31.41000,12.23000,-0.59000,10.6,1.9,1.0,0.0,1.018833,0.655756,1.364908,-0.225631,0.071308,1.486916,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.656055,0.142966,1.327908,-0.100836,0.013868,1.408864,-1.693038,-1.279998,-1.575012,-1.903850,2.893357,-0.058419,1.270996,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,0,0,1,1,0.0500,0.1328,,,,,8798,8687,1646,1236,6140,7346,2658,1303,0,38,0.48491,-0.05114,0
1786018885.2257,C_right_down,C,right,0,down,,6,60.7000,344.1000,157.4000,169.3000,54.2000,0.0000,360.0000,286.3000,100.3000,0.0000,0.0000,0.0000,212.7000,0.0000,-0.90700,0.05800,0.30600,5.51000,5.92000,-6.94000,0.11300,0.05300,0.84600,-31.41000,12.23000,-0.59000,11.8,2.1,1.0,0.0,1.018833,0.655756,1.364908,-0.225631,0.071308,1.486916,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.646912,0.154603,1.292141,-0.100836,0.013868,1.408864,-1.685528,-1.291020,-1.564010,-1.892923,2.905087,-0.047473,1.281268,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,0,0,1,1,0.0500,0.1328,,,,,128441,8687,1672,1236,125423,7346,3018,1303,0,38,0.48491,-0.05114,0
1786018885.2442,C_right_down,C,right,0,down,,7,160.6000,344.1000,157.4000,169.1000,52.8000,0.0000,360.0000,289.3000,97.7000,0.0000,0.0000,0.0000,211.8000,0.0000,-0.88900,0.04200,0.34200,-0.44000,5.76000,-1.52000,0.09300,0.03100,0.86500,-24.61000,9.16000,13.62000,11.8,2.1,1.0,0.0,0.637282,0.158765,1.273291,-1.170179,-0.165741,2.057117,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.646912,0.154603,1.292141,-0.100836,0.013868,1.408864,-1.681151,-1.297445,-1.557597,-1.886554,2.911925,-0.041093,1.287255,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,0.2394,,,,,128441,125160,1673,1273,125423,123759,3018,1371,0,30,0.48491,-0.05114,0
1786018885.2568,C_right_down,C,right,0,down,,8,160.6000,344.1000,157.4000,169.1000,52.8000,0.0000,360.0000,289.3000,97.7000,0.0000,0.0000,0.0000,211.8000,0.0000,-0.88900,0.04200,0.34200,-0.44000,5.76000,-1.52000,0.09300,0.03100,0.86500,-24.61000,9.16000,13.62000,11.8,2.1,1.0,0.0,0.637282,0.158765,1.273291,-1.170179,-0.165741,2.057117,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.646912,0.154603,1.292141,-0.100836,0.013868,1.408864,-1.676298,-1.304568,-1.550486,-1.879492,2.919506,-0.034018,1.293893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,0.2394,,,,,8798,8687,1647,1236,6140,7346,2658,1303,0,38,0.48491,-0.05114,0
1786018885.2758,C_right_down,C,right,0,down,,9,160.6000,344.1000,157.4000,169.1000,52.8000,0.0000,360.0000,289.3000,97.7000,0.0000,0.0000,0.0000,211.8000,0.0000,-0.88900,0.04200,0.34200,-0.44000,5.76000,-1.52000,0.09300,0.03100,0.86500,-24.61000,9.16000,13.62000,11.8,2.1,1.0,0.0,0.637282,0.158765,1.273291,-1.170179,-0.165741,2.057117,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.646912,0.154603,1.292141,-0.100836,0.013868,1.408864,-1.676298,-1.304568,-1.550486,-1.879492,2.919506,-0.034018,1.293893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,0.2394,,,,,128442,125160,1673,1273,125424,123759,3018,1371,0,30,0.46904,-0.05114,0
1786018885.3018,C_right_down,C,right,0,down,,10,160.6000,344.1000,157.4000,169.1000,52.8000,0.0000,360.0000,289.3000,97.7000,0.0000,0.0000,0.0000,211.8000,0.0000,-0.88900,0.04200,0.34200,-0.44000,5.76000,-1.52000,0.09300,0.03100,0.86500,-24.61000,9.16000,13.62000,11.8,2.1,1.0,0.0,0.637282,0.158765,1.273291,-1.170179,-0.165741,2.057117,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.640758,0.159260,1.274406,-0.100836,0.013868,1.408864,-1.676298,-1.304568,-1.550486,-1.879492,2.919506,-0.034018,1.293893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,0.2394,,,,,8798,125160,1647,1273,6140,123759,2658,1371,0,30,0.48491,-0.05114,0
1786018885.3148,C_right_down,C,right,0,down,,11,160.6000,344.1000,157.4000,169.1000,52.8000,0.0000,360.0000,289.3000,97.7000,0.0000,0.0000,0.0000,211.8000,0.0000,-0.88900,0.04200,0.34200,-0.44000,5.76000,-1.52000,0.09300,0.03100,0.86500,-24.61000,9.16000,13.62000,11.8,2.1,1.0,0.0,0.637282,0.158765,1.273291,-1.170179,-0.165741,2.057117,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.640758,0.159260,1.274406,-0.100836,0.013868,1.408864,-1.676298,-1.304568,-1.550486,-1.879492,2.919506,-0.034018,1.293893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,0.2394,,,,,8798,125160,1647,1273,6140,123759,2658,1371,0,30,0.48491,-0.05114,0
1786018885.3409,C_right_down,C,right,0,down,,12,160.6000,343.9000,157.4000,169.1000,54.7000,0.0000,360.0000,294.5000,91.1000,0.0000,84.3000,0.0000,206.7000,0.0000,-0.92000,0.05900,0.28500,-2.60000,3.05000,-0.90000,0.12100,0.03000,0.87600,-7.27000,22.85000,17.33000,11.8,2.1,1.0,0.0,0.642797,-0.135613,1.601748,-0.157320,-0.493128,1.588645,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.640758,0.159260,1.274406,-0.100836,0.013868,1.408864,-1.675566,-1.309555,-1.549615,-1.882674,2.925578,-0.036653,1.292906,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8798,8687,1647,1237,6140,7346,2658,1303,0,38,0.48491,-0.05114,0
1786018885.3538,C_right_down,C,right,0,down,,13,160.6000,343.9000,157.4000,169.1000,54.7000,0.0000,360.0000,294.5000,91.1000,0.0000,84.3000,0.0000,206.7000,0.0000,-0.92000,0.05900,0.28500,-2.60000,3.05000,-0.90000,0.12100,0.03000,0.87600,-7.27000,22.85000,17.33000,11.8,2.1,1.0,0.0,0.642797,-0.135613,1.601748,-0.157320,-0.493128,1.588645,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.637282,0.158765,1.273291,-0.100836,0.013868,1.408864,-1.675302,-1.311356,-1.549301,-1.883822,2.927769,-0.037604,1.292550,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8798,125160,1647,1273,6140,123759,2658,1371,0,30,0.48491,-0.05114,0
1786018885.3774,C_right_down,C,right,0,down,,14,160.6000,343.9000,157.4000,169.1000,54.7000,0.0000,360.0000,294.5000,91.1000,0.0000,84.3000,0.0000,206.7000,0.0000,-0.92000,0.05900,0.28500,-2.60000,3.05000,-0.90000,0.12100,0.03000,0.87600,-7.27000,22.85000,17.33000,11.8,2.1,1.0,0.0,0.642797,-0.135613,1.601748,-0.157320,-0.493128,1.588645,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.637282,0.158765,1.273291,-0.100836,0.013868,1.408864,-1.675081,-1.312867,-1.549037,-1.884787,2.929609,-0.038402,1.292251,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128442,125160,1673,1273,125424,123759,3018,1371,0,30,0.46904,-0.05114,0
1786018885.3966,C_right_down,C,right,0,down,,15,160.6000,344.1000,157.4000,169.1000,54.2000,0.0000,360.0000,296.0000,87.6000,0.0000,95.2000,0.0000,202.0000,0.0000,-0.92100,0.04900,0.28400,8.37000,-3.98000,-7.35000,0.05200,-0.02200,0.85100,-3.08000,12.69000,20.68000,10.3,1.5,1.0,0.0,1.019380,0.655775,1.365137,-0.225631,0.071308,1.486916,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.637282,0.158765,1.273291,-0.100836,0.013868,1.408864,-1.674707,-1.315413,-1.548593,-1.886411,2.932708,-0.039747,1.291747,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128442,8687,1673,1237,125424,7346,3018,1303,0,38,0.46904,-0.05114,0
1786018885.4138,C_right_down,C,right,0,down,,16,160.6000,344.1000,157.4000,169.1000,54.2000,0.0000,360.0000,296.0000,87.6000,0.0000,95.2000,0.0000,202.0000,0.0000,-0.92100,0.04900,0.28400,8.37000,-3.98000,-7.35000,0.05200,-0.02200,0.85100,-3.08000,12.69000,20.68000,10.3,1.5,1.0,0.0,1.019380,0.655775,1.365137,-0.225631,0.071308,1.486916,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.637282,0.158765,1.273291,-0.100836,0.013868,1.408864,-1.674707,-1.315413,-1.548593,-1.886411,2.932708,-0.039747,1.291747,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8798,125160,1647,1274,6140,123759,2658,1371,0,30,0.48491,-0.05114,0
1786018885.4428,C_right_down,C,right,0,down,,17,160.6000,344.1000,157.4000,169.1000,54.2000,0.0000,360.0000,296.0000,87.6000,0.0000,95.2000,0.0000,202.0000,0.0000,-0.92100,0.04900,0.28400,8.37000,-3.98000,-7.35000,0.05200,-0.02200,0.85100,-3.08000,12.69000,20.68000,10.1,2.6,1.0,0.0,1.019380,0.655775,1.365137,-0.225631,0.071308,1.486916,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.643775,0.153321,1.285667,-0.100836,0.013868,1.408864,-1.674707,-1.315413,-1.548593,-1.886411,2.932708,-0.039747,1.291747,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8799,8687,1647,1237,6140,7346,2659,1303,0,38,0.45988,-0.05114,0
1786018885.4898,C_right_down,C,right,0,down,,18,160.6000,343.8000,157.4000,169.7000,53.6000,0.0000,360.0000,299.8000,76.1000,0.0000,98.3000,0.0000,183.1000,0.0000,-0.87300,0.02400,0.29100,-4.15000,5.63000,-8.77000,0.01300,-0.11600,0.96800,2.06000,14.82000,31.73000,9.6,1.9,1.0,0.0,0.645347,-0.135303,1.586428,-0.157320,-0.493128,1.588645,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.643775,0.153321,1.285667,-0.100836,0.013868,1.408864,-1.674707,-1.315413,-1.548593,-1.886411,2.932708,-0.039747,1.291747,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128443,125160,1673,1274,125424,123759,3019,1371,0,30,0.45988,-0.05114,0
1786018885.4920,C_right_down,C,right,0,down,,19,160.6000,343.8000,157.4000,169.7000,53.6000,0.0000,360.0000,299.8000,76.1000,0.0000,98.3000,0.0000,183.1000,0.0000,-0.87300,0.02400,0.29100,-4.15000,5.63000,-8.77000,0.01300,-0.11600,0.96800,2.06000,14.82000,31.73000,9.6,1.5,1.0,0.0,0.634579,0.158378,1.272456,-0.157320,-0.493128,1.588645,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.643775,0.153321,1.285667,-0.100836,0.013868,1.408864,-1.675981,-1.309413,-1.554593,-1.892411,2.926708,-0.045747,1.285747,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8799,125160,1647,1274,6140,123759,2659,1371,0,30,0.45988,-0.05114,0
1786018885.4942,C_right_down,C,right,0,down,,20,160.6000,343.8000,157.4000,169.7000,53.6000,0.0000,360.0000,299.8000,76.1000,0.0000,98.3000,0.0000,183.1000,0.0000,-0.87300,0.02400,0.29100,-4.15000,5.63000,-8.77000,0.01300,-0.11600,0.96800,2.06000,14.82000,31.73000,9.6,1.5,1.0,0.0,0.634579,0.158378,1.272456,-0.157320,-0.493128,1.588645,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.643775,0.153321,1.285667,-0.100836,0.013868,1.408864,-1.675981,-1.309413,-1.554593,-1.892411,2.926708,-0.045747,1.285747,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8799,125160,1647,1274,6140,123759,2659,1371,0,30,0.45988,-0.05114,0
1786018885.5143,C_right_down,C,right,0,down,,21,160.6000,344.0000,15.4000,169.0000,53.6000,0.0000,360.0000,300.4000,70.1000,0.0000,98.6000,0.0000,175.4000,0.0000,-0.85800,-0.00200,0.30500,6.86000,-2.84000,-5.85000,-0.09300,0.02300,0.97600,34.11000,17.53000,22.73000,9.6,1.5,1.0,0.0,0.634579,0.158378,1.272456,-1.170179,-0.165741,2.057117,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.656813,0.139598,1.314113,-0.100836,0.013868,1.408864,-1.679814,-1.291359,-1.572647,-1.910465,2.908654,-0.063801,1.267693,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128443,125160,1673,1274,125424,123759,3019,1371,0,30,0.45988,-0.05114,0
1786018885.5361,C_right_down,C,right,0,down,,22,160.6000,344.0000,15.4000,169.0000,53.6000,0.0000,360.0000,300.4000,70.1000,0.0000,98.6000,0.0000,175.4000,0.0000,-0.85800,-0.00200,0.30500,6.86000,-2.84000,-5.85000,-0.09300,0.02300,0.97600,34.11000,17.53000,22.73000,9.6,1.5,1.0,0.0,0.634579,0.158378,1.272456,-1.170179,-0.165741,2.057117,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.656813,0.139598,1.314113,-0.100836,0.013868,1.408864,-1.681264,-1.284528,-1.579477,-1.917295,2.901823,-0.070631,1.260863,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8799,8688,1647,1237,6140,7346,2659,1304,0,38,0.45988,-0.05114,0
1786018885.5554,C_right_down,C,right,0,down,,23,160.5000,344.1000,157.3000,169.7000,53.4000,0.0000,360.0000,301.4000,64.6000,0.0000,98.7000,0.0000,168.4000,0.0000,-0.87800,0.01800,0.28300,10.68000,3.45000,-3.60000,-0.10300,0.03700,0.97900,31.53000,14.63000,24.85000,9.6,2.3,1.0,0.0,1.016946,0.656632,1.364095,-0.225631,0.071308,1.486916,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.656813,0.139598,1.314113,-0.100836,0.013868,1.408864,-1.683750,-1.272820,-1.591186,-1.929004,2.890114,-0.082340,1.249154,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8799,8688,1647,1237,6140,7346,2659,1304,0,38,0.45988,-0.05114,0
1786018885.5776,C_right_down,C,right,0,down,,24,160.5000,344.1000,157.3000,169.7000,53.4000,0.0000,360.0000,302.1000,61.6000,0.0000,98.8000,0.0000,165.5000,0.0000,-0.87800,0.01800,0.28300,10.68000,3.45000,-3.60000,-0.08200,-0.05800,0.98800,27.67000,-1.34000,30.51000,10.3,1.3,1.0,0.0,1.016946,0.656632,1.364095,-0.225631,0.071308,1.486916,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.666993,0.124540,1.341864,-0.100836,0.013868,1.408864,-1.686229,-1.261144,-1.602861,-1.940680,2.878439,-0.094016,1.237479,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8799,8688,1647,1237,6140,7346,2659,1304,0,38,0.45988,-0.05114,0
1786018885.5958,C_right_down,C,right,0,down,,25,160.6000,344.1000,157.3000,169.8000,53.6000,0.0000,360.0000,303.4000,57.0000,0.0000,98.9000,0.0000,160.1000,0.0000,-0.87600,0.04200,0.33500,-0.65000,10.38000,2.68000,-0.09800,0.09500,1.01500,41.20000,-4.75000,21.76000,9.7,0.7,1.0,0.0,1.013764,0.655839,1.362947,-0.225631,0.071308,1.486916,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.666993,0.124540,1.341864,-0.100836,0.013868,1.408864,-1.688748,-1.249281,-1.614725,-1.952543,2.866575,-0.105879,1.225615,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8799,8688,1647,1237,6140,7346,2659,1304,0,38,0.45988,-0.05114,0
1786018885.6138,C_right_down,C,right,0,down,,26,160.6000,344.1000,157.3000,169.8000,53.6000,0.0000,360.0000,303.4000,57.0000,0.0000,98.9000,0.0000,160.1000,0.0000,-0.87600,0.04200,0.33500,-0.65000,10.38000,2.68000,-0.09800,0.09500,1.01500,41.20000,-4.75000,21.76000,10.2,1.7,1.0,0.0,1.013764,0.655839,1.362947,-0.225631,0.071308,1.486916,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.666993,0.124540,1.341864,-0.100836,0.013868,1.408864,-1.693950,-1.224775,-1.639231,-1.977049,2.842070,-0.130385,1.201109,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8799,8688,1647,1237,6140,7346,2659,1304,0,38,0.45988,-0.05114,0
1786018885.6460,C_right_down,C,right,0,down,,27,160.6000,344.1000,157.3000,169.7000,51.5000,0.0000,360.0000,305.3000,50.9000,0.0000,98.9000,0.0000,157.3000,0.0000,-0.88300,0.00400,0.34500,-1.87000,3.76000,4.30000,-0.01800,0.14300,1.00700,27.69000,-7.08000,19.29000,10.4,1.3,1.0,0.0,0.630831,0.157869,1.271124,-1.170179,-0.165741,2.057117,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.674818,0.107090,1.370600,-0.100836,0.013868,1.408864,-1.696377,-1.213347,-1.650659,-1.988477,2.830642,-0.141813,1.189681,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8799,8688,1647,1237,6140,7346,2659,1304,0,38,0.45988,-0.05114,0
1786018885.6562,C_right_down,C,right,0,down,,28,160.6000,344.1000,157.3000,169.7000,51.5000,0.0000,360.0000,305.3000,50.9000,0.0000,98.9000,0.0000,157.3000,0.0000,-0.88300,0.00400,0.34500,-1.87000,3.76000,4.30000,-0.01800,0.14300,1.00700,27.69000,-7.08000,19.29000,10.3,1.0,1.0,0.0,0.630831,0.157869,1.271124,-1.170179,-0.165741,2.057117,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.674818,0.107090,1.370600,-0.100836,0.013868,1.408864,-1.697809,-1.206603,-1.657403,-1.995221,2.823897,-0.148557,1.182937,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128443,125160,1673,1274,125424,123759,3019,1371,0,30,0.45988,-0.05114,0
1786018885.6855,C_right_down,C,right,0,down,,29,160.6000,344.1000,157.2000,169.8000,52.4000,0.0000,360.0000,306.8000,46.9000,0.0000,99.0000,0.0000,154.6000,0.0000,-0.87100,0.02000,0.30800,3.34000,-5.61000,5.36000,-0.05400,0.17500,0.99000,11.36000,6.85000,20.15000,10.3,1.0,1.0,0.0,0.645834,-0.135253,1.575265,-0.157320,-0.493128,1.588645,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.674818,0.107090,1.370600,-0.100836,0.013868,1.408864,-1.704055,-1.177179,-1.686826,-2.024644,2.794474,-0.177980,1.153514,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8799,125160,1647,1274,6140,123759,2659,1371,0,30,0.45988,-0.05114,0
